conta_ID,ID,Data,Valor,Descrição,Categoria,
4563108796,20240509001,2024-05-09,-1563.91,ITAU MC       5502 4257,Cartão,
4563108796,20240610003,2024-06-10,-1539.24,ITAU MC       5502 4257,Cartão,
4563108796,20240709001,2024-07-09,-1560.79,ITAU MC       5502 4257,Cartão,
4563108796,20240809002,2024-08-09,-1832.06,ITAU MC       5502 4257,Cartão,
4563108796,20240909006,2024-09-09,-3806.37,ITAU MC       5502 4257,Cartão,
4563108796,20230309001,2023-03-09,-1481.02,ITAU MC       5502 9143,Cartão,
4563108796,20230109003,2023-01-09,-1404.1,ITAU MC       5502 9143,Cartão,
4563108796,20230410004,2023-04-10,-1248.81,ITAU MC       5502 9143,Cartão,
4563108796,20230509001,2023-05-09,-742.6,ITAU MC       5502 9143,Cartão,
4563108796,20230209002,2023-02-09,-1551.64,ITAU MC       5502 9143,Cartão,
3185062241,20240115001,2024-01-15,-602.23,ITAU VISA     5000 8299,Cartão,
